n,p,sigma,T,rmse_mean,rmse_sd,source_file
1000,5,0.25,20,0.1439927756786346,0.0064490533659112,rmse_table_all_1000.csv
1000,5,0.25,35,0.1297659188508987,0.0023423711008103,rmse_table_all_1000.csv
1000,5,0.25,50,0.1255966201424598,0.0054438013164553,rmse_table_all_1000.csv
1000,5,0.25,65,0.1197273403406143,0.004341361444577,rmse_table_all_1000.csv
1000,5,0.25,80,0.1118308335542678,0.0034590029959784,rmse_table_all_1000.csv
1000,5,0.25,95,0.1170808881521225,0.0011049703227201,rmse_table_all_1000.csv
1000,5,0.25,110,0.1136197254061699,0.0068266720812046,rmse_table_all_1000.csv
1000,5,0.25,125,0.1130919843912124,0.0032844908064225,rmse_table_all_1000.csv
1000,5,0.25,140,0.1180638149380683,0.0023473783021415,rmse_table_all_1000.csv
1000,5,0.25,155,0.1167006403207779,0.0013822517131131,rmse_table_all_1000.csv
1000,5,0.25,170,0.1161515861749649,0.0022073886719261,rmse_table_all_1000.csv
1000,5,0.25,185,0.1181522384285926,0.0021976188826905,rmse_table_all_1000.csv
1000,5,0.5,10,0.2152712307870388,0.0188161767513864,rmse_table_all_1000.csv
1000,5,0.5,15,0.1972765438258648,0.0115810739169136,rmse_table_all_1000.csv
1000,5,0.5,20,0.1866483032703399,0.0063795393292065,rmse_table_all_1000.csv
1000,5,0.5,25,0.1736537724733352,0.0075014777315279,rmse_table_all_1000.csv
1000,5,0.5,30,0.1662500165402889,0.0065366518527969,rmse_table_all_1000.csv
1000,5,0.5,35,0.1587621286511421,0.0073328313076673,rmse_table_all_1000.csv
1000,5,0.5,40,0.157041684538126,0.0062307063138147,rmse_table_all_1000.csv
1000,5,0.5,45,0.1541554264724254,0.004533517914756,rmse_table_all_1000.csv
1000,5,0.5,50,0.152525832504034,0.0050601238778156,rmse_table_all_1000.csv
1000,5,0.5,55,0.1534780368208885,0.0050821242399378,rmse_table_all_1000.csv
1000,5,0.5,60,0.1530680894851684,0.0053836434219218,rmse_table_all_1000.csv
1000,5,0.5,65,0.1510208070278167,0.0027742617592674,rmse_table_all_1000.csv
